"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"dance pop, europop, neo mellow, pop, pop rock, post-teen pop","https://api.spotify.com/v1/artists/7o95ZoZt5ZYn31e9z1Hc0a","7o95ZoZt5ZYn31e9z1Hc0a","Natasha Bedingfield",69,"artist","spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a","https://open.spotify.com/artist/7o95ZoZt5ZYn31e9z1Hc0a",NA,1387337,"mid",2,14,"cindy"
"dance pop, hip pop, pop, pop rap, queens hip hop","https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",90,"artist","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",NA,24391063,"mid",2,15,"cindy"
"pop, r&b","https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP","7tYKF4w9nC0nq9CsPZTHyP","SZA",88,"artist","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP",NA,7359354,"mid",2,16,"cindy"
"dance pop, houston rap, pop, trap queen","https://api.spotify.com/v1/artists/181bsRPaVXVlUKXrxwZfHK","181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion",85,"artist","spotify:artist:181bsRPaVXVlUKXrxwZfHK","https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK",NA,6159348,"mid",2,17,"cindy"
"canadian hip hop, canadian pop, hip hop, rap, toronto rap","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","3TVXtAsR1Inumwj472S9r4","Drake",98,"artist","spotify:artist:3TVXtAsR1Inumwj472S9r4","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4",NA,61755266,"mid",2,18,"cindy"
"dance pop, pop","https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,77023390,"mid",2,19,"cindy"
"colombian pop, dance pop, pop, r&b","https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM","1U1el3k54VvEUzo3ybLPlM","Kali Uchis",85,"artist","spotify:artist:1U1el3k54VvEUzo3ybLPlM","https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM",NA,2678466,"mid",2,20,"cindy"
"brooklyn drill, nyc rap","https://api.spotify.com/v1/artists/6EPlBSH2RSiettczlz7ihV","6EPlBSH2RSiettczlz7ihV","Sleepy Hallow",81,"artist","spotify:artist:6EPlBSH2RSiettczlz7ihV","https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV",NA,770081,"mid",2,21,"cindy"
"escape room, lgbtq+ hip hop, trap queen","https://api.spotify.com/v1/artists/6lay1nwbE6hTx1jivysUAL","6lay1nwbE6hTx1jivysUAL","Princess Nokia",68,"artist","spotify:artist:6lay1nwbE6hTx1jivysUAL","https://open.spotify.com/artist/6lay1nwbE6hTx1jivysUAL",NA,521974,"mid",2,22,"cindy"
"dance pop, pop, r&b","https://api.spotify.com/v1/artists/6y5amJcTjeDgLXIjtQLMst","6y5amJcTjeDgLXIjtQLMst","SAYGRACE",64,"artist","spotify:artist:6y5amJcTjeDgLXIjtQLMst","https://open.spotify.com/artist/6y5amJcTjeDgLXIjtQLMst",NA,170773,"mid",2,23,"cindy"
"cancion infantil latinoamericana, musica para ninos, villancicos","https://api.spotify.com/v1/artists/02g9Gf4gRw0qJfSZfLbwin","02g9Gf4gRw0qJfSZfLbwin","Los Niños Cantores De Prado",29,"artist","spotify:artist:02g9Gf4gRw0qJfSZfLbwin","https://open.spotify.com/artist/02g9Gf4gRw0qJfSZfLbwin",NA,3867,"mid",2,24,"cindy"
"","https://api.spotify.com/v1/artists/24b9I2uDul2T1xec8Fp36H","24b9I2uDul2T1xec8Fp36H","El Clan del Solar",36,"artist","spotify:artist:24b9I2uDul2T1xec8Fp36H","https://open.spotify.com/artist/24b9I2uDul2T1xec8Fp36H",NA,530,"mid",2,25,"cindy"
"melodic rap, pop rap, r&b, rap, trap, vapor trap","https://api.spotify.com/v1/artists/21WS9wngs9AqFckK7yYJPM","21WS9wngs9AqFckK7yYJPM","PnB Rock",76,"artist","spotify:artist:21WS9wngs9AqFckK7yYJPM","https://open.spotify.com/artist/21WS9wngs9AqFckK7yYJPM",NA,3271796,"mid",2,26,"cindy"
"brooklyn drill","https://api.spotify.com/v1/artists/0eDvMgVFoNV3TpwtrVCoTj","0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke",88,"artist","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj",NA,9497050,"mid",2,27,"cindy"
"melodic rap, trap","https://api.spotify.com/v1/artists/1cNDP5yjU5vjeR8qMf4grg","1cNDP5yjU5vjeR8qMf4grg","YNW Melly",80,"artist","spotify:artist:1cNDP5yjU5vjeR8qMf4grg","https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg",NA,7297322,"mid",2,28,"cindy"
