"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"chicago drill, chicago rap, drill, hip hop, rap, trap","https://api.spotify.com/v1/artists/3hcs9uc56yIGFCSy9leWe7","3hcs9uc56yIGFCSy9leWe7","Lil Durk",88,"artist","spotify:artist:3hcs9uc56yIGFCSy9leWe7","https://open.spotify.com/artist/3hcs9uc56yIGFCSy9leWe7",NA,3713117,"short",1,16,"lord"
"new york drill","https://api.spotify.com/v1/artists/5PPetvBg4hGBkco4Y267hd","5PPetvBg4hGBkco4Y267hd","Quelly Woo",49,"artist","spotify:artist:5PPetvBg4hGBkco4Y267hd","https://open.spotify.com/artist/5PPetvBg4hGBkco4Y267hd",NA,30954,"short",1,17,"lord"
"electro, filter house","https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk",83,"artist","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi",NA,8697500,"short",1,18,"lord"
"chicago drill, chicago rap, drill, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/5QdEbQJ3ylBnc3gsIASAT5","5QdEbQJ3ylBnc3gsIASAT5","G Herbo",79,"artist","spotify:artist:5QdEbQJ3ylBnc3gsIASAT5","https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5",NA,1454428,"short",1,19,"lord"
"chicago rap","https://api.spotify.com/v1/artists/6AgTAQt8XS6jRWi4sX7w49","6AgTAQt8XS6jRWi4sX7w49","Polo G",90,"artist","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","https://open.spotify.com/artist/6AgTAQt8XS6jRWi4sX7w49",NA,6912142,"short",1,20,"lord"
"nyc rap, plugg, vapor trap","https://api.spotify.com/v1/artists/0JfrGVffhKwF36QHW9HXOL","0JfrGVffhKwF36QHW9HXOL","Shawny Binladen",50,"artist","spotify:artist:0JfrGVffhKwF36QHW9HXOL","https://open.spotify.com/artist/0JfrGVffhKwF36QHW9HXOL",NA,10908,"short",1,21,"lord"
"florida rap, rap, trap","https://api.spotify.com/v1/artists/0Njy6yR9LykNKYg9yE23QN","0Njy6yR9LykNKYg9yE23QN","Nardo Wick",75,"artist","spotify:artist:0Njy6yR9LykNKYg9yE23QN","https://open.spotify.com/artist/0Njy6yR9LykNKYg9yE23QN",NA,157242,"short",1,22,"lord"
"atl hip hop, melodic rap, plugg, pluggnb, underground hip hop, vapor trap","https://api.spotify.com/v1/artists/1O8X4zxUh4AdAPFttOTlLr","1O8X4zxUh4AdAPFttOTlLr","Thouxanbanfauni",65,"artist","spotify:artist:1O8X4zxUh4AdAPFttOTlLr","https://open.spotify.com/artist/1O8X4zxUh4AdAPFttOTlLr",NA,178950,"short",1,23,"lord"
"atl hip hop, atl trap, rap, trap","https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK","5f7VJjfbwm532GiveGC0ZK","Lil Baby",92,"artist","spotify:artist:5f7VJjfbwm532GiveGC0ZK","https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",NA,9806503,"short",1,24,"lord"
"brooklyn drill","https://api.spotify.com/v1/artists/0eDvMgVFoNV3TpwtrVCoTj","0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke",88,"artist","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj",NA,9442168,"short",1,25,"lord"
