"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"colombian pop, dance pop, pop, r&b","https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM","1U1el3k54VvEUzo3ybLPlM","Kali Uchis",85,"artist","spotify:artist:1U1el3k54VvEUzo3ybLPlM","https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM",NA,2661573,"mid",2,22,"Selah"
"indie folk, indie pop, indie rock, stomp and holler","https://api.spotify.com/v1/artists/2kGBy2WHvF0VdZyqiVCkDT","2kGBy2WHvF0VdZyqiVCkDT","Father John Misty",65,"artist","spotify:artist:2kGBy2WHvF0VdZyqiVCkDT","https://open.spotify.com/artist/2kGBy2WHvF0VdZyqiVCkDT",NA,663950,"mid",2,23,"Selah"
"edmonton indie, lo-fi indie","https://api.spotify.com/v1/artists/3Sz7ZnJQBIHsXLUSo0OQtM","3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco",82,"artist","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM",NA,2507053,"mid",2,24,"Selah"
"hip hop, rap","https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF","4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",89,"artist","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF",NA,8145187,"mid",2,25,"Selah"
"alternative dance, art pop, chamber psych, chillwave, dream pop, electronica, indie rock, la indie, modern dream pop, modern rock, new rave","https://api.spotify.com/v1/artists/3AmgGrYHXqgbmZ2yKoIVzO","3AmgGrYHXqgbmZ2yKoIVzO","Warpaint",56,"artist","spotify:artist:3AmgGrYHXqgbmZ2yKoIVzO","https://open.spotify.com/artist/3AmgGrYHXqgbmZ2yKoIVzO",NA,434706,"mid",2,26,"Selah"
"canadian singer-songwriter, folk, folk rock, lilith, mellow gold, singer-songwriter","https://api.spotify.com/v1/artists/5hW4L92KnC6dX9t7tYM4Ve","5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell",62,"artist","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve",NA,1158478,"mid",2,27,"Selah"
"alabama indie, modern blues rock, rock","https://api.spotify.com/v1/artists/16GcWuvvybAoaHr0NqT8Eh","16GcWuvvybAoaHr0NqT8Eh","Alabama Shakes",64,"artist","spotify:artist:16GcWuvvybAoaHr0NqT8Eh","https://open.spotify.com/artist/16GcWuvvybAoaHr0NqT8Eh",NA,1506898,"mid",2,28,"Selah"
"freak folk","https://api.spotify.com/v1/artists/1YZEoYFXx4AxVv13OiOPvZ","1YZEoYFXx4AxVv13OiOPvZ","Devendra Banhart",61,"artist","spotify:artist:1YZEoYFXx4AxVv13OiOPvZ","https://open.spotify.com/artist/1YZEoYFXx4AxVv13OiOPvZ",NA,551804,"mid",2,29,"Selah"
"alternative rock, art pop, art rock, dream pop, ethereal wave, melancholia, new wave, scottish indie, shoegaze","https://api.spotify.com/v1/artists/5Wabl1lPdNOeIn0SQ5A1mp","5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins",65,"artist","spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp","https://open.spotify.com/artist/5Wabl1lPdNOeIn0SQ5A1mp",NA,535111,"mid",2,30,"Selah"
"alternative americana, art pop, dream pop, indie pop, indie rock","https://api.spotify.com/v1/artists/6mKqFxGMS5TGDZI3XkT5Rt","6mKqFxGMS5TGDZI3XkT5Rt","Angel Olsen",62,"artist","spotify:artist:6mKqFxGMS5TGDZI3XkT5Rt","https://open.spotify.com/artist/6mKqFxGMS5TGDZI3XkT5Rt",NA,373666,"mid",2,31,"Selah"
