"start","end","weight","list"
"desu","Eve","8","c(\"Taylor Swift\", \"Lizzo\", \"Olivia Rodrigo\", \"Leslie Odom Jr.\", \"Lil Nas X\", \"Adele\", \"Megan Thee Stallion\", \"Ariana Grande\")"
"cindy","Eve","7","c(\"Lizzo\", \"Smino\", \"Olivia Rodrigo\", \"Tierra Whack\", \"Adele\", \"Megan Thee Stallion\", \"Ariana Grande\")"
"Eve","lord","1","Adele"
"claudia","Eve","6","c(\"Taylor Swift\", \"Post Malone\", \"Khalid\", \"Olivia Rodrigo\", \"Lil Nas X\", \"Ariana Grande\")"
"Eve","Selah","1","Khalid"
"cindy","desu","9","c(\"Selena Gomez\", \"Ariana Grande\", \"Doja Cat\", \"Adele\", \"Nicki Minaj\", \"Olivia Rodrigo\", \"Megan Thee Stallion\", \"Lizzo\", \"Chloe x Halle\")"
"desu","lord","3","c(\"Adele\", \"The Weeknd\", \"Kanye West\")"
"claudia","desu","8","c(\"Taylor Swift\", \"Ariana Grande\", \"Doja Cat\", \"Lil Nas X\", \"The Weeknd\", \"Olivia Rodrigo\", \"Labrinth\", \"Kanye West\")"
"desu","Selah","7","c(\"Beyoncé\", \"Doja Cat\", \"Billie Eilish\", \"The Weeknd\", \"Labrinth\", \"Lorde\", \"Kanye West\")"
"cindy","lord","7","c(\"Jhené Aiko\", \"A Boogie Wit da Hoodie\", \"Adele\", \"Sleepy Hallow\", \"Drake\", \"G Herbo\", \"Kali Uchis\")"
"cindy","claudia","4","c(\"Doja Cat\", \"Olivia Rodrigo\", \"Drake\", \"Ariana Grande\")"
"cindy","Selah","3","c(\"Doja Cat\", \"Frank Ocean\", \"Kali Uchis\")"
"claudia","lord","3","c(\"Drake\", \"The Weeknd\", \"Kanye West\")"
"lord","Selah","5","c(\"The Weeknd\", \"Daft Punk\", \"Kanye West\", \"Kali Uchis\", \"Beach House\")"
"claudia","Selah","5","c(\"Khalid\", \"The Weeknd\", \"Kanye West\", \"Doja Cat\", \"Labrinth\")"
